Bus Type,Length,Fuel,Fleet #,Floor,1-Factor Fully Allocated Cost
19 - 27FT PRESIDENT VAN LF ,27,,19,LF,140.33
11 - 30FT GILLIG HF,30,D,11,HF,130.61
31 - 35FT GILLIG HF ,35,D,31,HF,130.61
33 - 35FT GILLIG HF ,35,D,33,HF,130.61
32 - 40FT GILLIG HF ,40,D,32,HF,134.05
36 - 40FT NEW FLYER LF ,40,D,36,LF,134.05
90 - 40FT GILLIG HF ,40,D,90,HF,134.05
70 - 40 FT ORION ,40,H,70,,134.05
92 - 40FT NEW FLYER HYBRID LF ,40,H,92,LF,134.05
41 - 40FT GILLIG TROLLEY HF ,40,T,41,HF,142.92
90M - 40FT GILLIG HF ,40,,90m,HF,134.05
23 - 60FT NEW FLYER ARTIC HF ,60,D,23,HF,167.52
25 - 60FT NEW FLYER HYBRID LF,60,H,25,LF,143.75
26 - 60FT NEW FLYER HYBRID LF ,60,H,26,LF,143.75
28 - 60FT NEW FLYER LF ,60,D,28,LF,167.52
42 - 60FT BREDA CNV TRLY HF ,60,T,42,HF,153.11
50 - 60FT BREDA DUALMODE ,60,,50,,148.7
60 - 60FT NEW FLYER HYBRID LF,60,H,60,LF,143.75
68 - 60FT NEW FLYER HYBRID LF ,60,H,68,LF,143.75
95 - 60FT NEW FLYER LF ,60,D,95,LF,167.52
96 - 60FT NEW FLYER HYBRID LF,60,H,96,LF,143.75